id,source_drug_id,target_drug_id
837,DB00012,DB00305
838,DB00012,DB00307
839,DB00012,DB00313
840,DB00012,DB00317
841,DB00012,DB00322
842,DB00012,DB00351
843,DB00012,DB00352
844,DB00012,DB00357
845,DB00012,DB00385
846,DB00012,DB00398
847,DB00012,DB00428
848,DB00012,DB00432
849,DB00012,DB00441
850,DB00012,DB00444
851,DB00012,DB00445
852,DB00012,DB00488
853,DB00012,DB00499
854,DB00012,DB00515
855,DB00012,DB00523
856,DB00012,DB00526
857,DB00012,DB00530
858,DB00012,DB00539
859,DB00012,DB00544
860,DB00012,DB00552
861,DB00012,DB00563
862,DB00012,DB00603
863,DB00012,DB00619
864,DB00012,DB00631
865,DB00012,DB00635
866,DB00012,DB00642
867,DB00012,DB00648
868,DB00012,DB00665
869,DB00012,DB00675
870,DB00012,DB00694
871,DB00012,DB00707
872,DB00012,DB00755
873,DB00012,DB00762
874,DB00012,DB00773
875,DB00012,DB00791
876,DB00012,DB00851
877,DB00012,DB00853
878,DB00012,DB00855
879,DB00012,DB00860
880,DB00012,DB00888
881,DB00012,DB00894
882,DB00012,DB00928
883,DB00012,DB00947
884,DB00012,DB00958
885,DB00012,DB00959
886,DB00012,DB00970
887,DB00012,DB00987
888,DB00012,DB00990
889,DB00012,DB00997
890,DB00012,DB01005
891,DB00012,DB01006
892,DB00012,DB01008
893,DB00012,DB01030
894,DB00012,DB01033
895,DB00012,DB01042
896,DB00012,DB01073
897,DB00012,DB01101
898,DB00012,DB01108
899,DB00012,DB01128
900,DB00012,DB01157
901,DB00012,DB01168
902,DB00012,DB01169
903,DB00012,DB01177
904,DB00012,DB01181
905,DB00013,DB06605
906,DB00013,DB06695
907,DB00013,DB01254
908,DB00013,DB01609
909,DB00013,DB01586
910,DB00013,DB02123
911,DB00013,DB02659
912,DB00013,DB02691
913,DB00013,DB03619
914,DB00013,DB04348
915,DB00013,DB05990
916,DB00013,DB06777
917,DB00013,DB08833
918,DB00013,DB08834
919,DB00013,DB08857
920,DB00013,DB11622
921,DB00013,DB11789
922,DB00013,DB09075
923,DB00013,DB09053
924,DB00013,DB08935
925,DB00013,DB06228
926,DB00013,DB06206
927,DB00013,DB09070
928,DB00013,DB00932
929,DB00013,DB00001
930,DB00013,DB00006
931,DB00013,DB00009
932,DB00013,DB00015
933,DB00013,DB00029
934,DB00013,DB00031
935,DB00013,DB00054
936,DB00013,DB00055
937,DB00013,DB00086
938,DB00013,DB00266
939,DB00013,DB00278
940,DB00013,DB00407
941,DB00013,DB00498
942,DB00013,DB00569
943,DB00013,DB00682
944,DB00013,DB00686
945,DB00013,DB00945
946,DB00013,DB00946
947,DB00013,DB00975
948,DB00013,DB01088
949,DB00013,DB01109
950,DB00013,DB01225
951,DB00013,DB01240
952,DB00013,DB01418
953,DB00013,DB03410
954,DB00013,DB04665
955,DB00013,DB04898
956,DB00013,DB04925
957,DB00013,DB04932
958,DB00013,DB05099
959,DB00013,DB05229
960,DB00013,DB05254
961,DB00013,DB06209
962,DB00013,DB06271
963,DB00013,DB06294
964,DB00013,DB06406
965,DB00013,DB06441
966,DB00013,DB06543
967,DB00013,DB06635
968,DB00013,DB06679
969,DB00013,DB06754
970,DB00013,DB06779
971,DB00013,DB06822
972,DB00013,DB07767
973,DB00013,DB08496
974,DB00013,DB08794
975,DB00013,DB08813
976,DB00013,DB08814
977,DB00013,DB08816
978,DB00013,DB08994
979,DB00013,DB09030
980,DB00013,DB09125
981,DB00013,DB09154
982,DB00013,DB09255
983,DB00013,DB09258
984,DB00013,DB09259
985,DB00013,DB09260
986,DB00013,DB09261
987,DB00013,DB11095
988,DB00013,DB11154
989,DB00013,DB11166
990,DB00013,DB11312
991,DB00013,DB11598
992,DB00013,DB11984
993,DB00013,DB12289
994,DB00013,DB12364
995,DB00013,DB12598
996,DB00013,DB12726
997,DB00013,DB12831
998,DB00013,DB13136
999,DB00013,DB13149
1000,DB00013,DB13199
1001,DB00013,DB13275
1002,DB00013,DB13347
1003,DB00013,DB13451
1004,DB00013,DB13616
1005,DB00014,DB09066
1006,DB00014,DB09083
1007,DB00014,DB08894
1008,DB00014,DB00012
1009,DB00014,DB00016
1010,DB00014,DB09107
1011,DB00014,DB09277
1012,DB00014,DB00089
1013,DB00014,DB00030
1014,DB00014,DB00046
